word,length,uniqueCharacters
clog,4,4
cloister,8,8
clone,5,5
close,5,5
closely,7,6
closeness,9,6
closer,6,6
closest,7,6
closet,6,6
closure,7,7
clot,4,4
cloth,5,5
clothe,6,6
clothes,7,7
clothing,8,8
clotted,7,6
cloud,5,5
cloudless,9,7
cloudy,6,6
clout,5,5
clove,5,5
clown,5,5
club,4,4
clubhouse,9,8
clue,4,4
clueless,8,5
clumsiness,10,8
clumsy,6,6
cluster,7,7
clutch,6,5
clutter,7,6
coach,5,4
coal,4,4
coalition,9,7
coarse,6,6
coast,5,5
coastline,9,9
coat,4,4
coax,4,4
cobbler,7,6
cock,4,3
cockpit,7,6
cockroach,9,6
cocktail,8,7
cocky,5,4
cocoa,5,3
coconut,7,5
cod,3,3
code,4,4
coefficient,11,7
coercive,8,6
coexist,7,7
coffee,6,4
coffeehouse,11,7
coffin,6,5
cogent,6,6
cogitate,8,7
cognate,7,7
cognition,9,6
cognitive,9,8
cognizance,10,8
cohabit,7,7
cohere,6,5
coherence,9,6
coherent,8,7
cohort,6,5
coil,4,4
coin,4,4
coincidence,11,6
coincident,10,7
coke,4,4
cola,4,4
colander,8,8
cold,4,4
coldness,8,7
collaborate,11,8
collapse,8,7
collar,6,5
collateral,10,7
colleague,9,7
collect,7,5
collecting,10,8
collection,10,7
collective,10,7
collector,9,6
college,7,5
collide,7,6
collision,9,6
colloquial,10,7
cologne,7,6
colon,5,4
colonel,7,5
colonial,8,6
colonialism,11,8
colonist,8,7
colony,6,5
color,5,4
colossal,8,5
colour,6,5
coloured,8,7
colourful,9,6
colourless,10,7
colt,4,4
column,6,6
columnist,9,9
coma,4,4
comb,4,4
combat,6,6
combination,11,8
combine,7,7
combustible,11,10
come,4,4
comeback,8,7
comedian,8,8
comedy,6,6
comely,6,6
comet,5,5
comfort,7,6
comfortable,11,10
comfortless,11,9
comfy,5,5
comic,5,4
comma,5,4
command,7,6
commander,9,8
commandment,11,8
commemorate,11,7
commence,8,5
comment,7,6
commentary,10,9
commerce,8,5
commercial,10,8
commiserate,11,9
commission,10,6
commissioner,12,8
commit,6,5
commitment,10,7
committed,9,7
committee,9,6
commodity,9,7
common,6,4
commonplace,11,8
commonwealth,12,10
commotion,9,6
communicate,11,9
communication,13,8
community,9,8
compact,7,6
companion,9,7
company,7,7
comparable,10,9
compare,7,7
comparison,10,9
compartment,11,9
compass,7,6
compassion,10,8
compassionate,13,10
compatible,10,10
compatriot,10,8
compel,6,6
compelling,10,9
compensate,10,9
compensation,12,10
compere,7,6
compete,7,6
competence,10,7
competent,9,7
competition,11,8
competitive,11,8
competitor,10,8
compile,7,7
complain,8,8
complaint,9,9
complement,10,8
complete,8,7
completely,10,8
completion,10,9
complex,7,7
compliance,10,9
complicate,10,9
complicated,11,10
complication,12,9
compliment,10,9
complimentary,13,12
component,9,7
compose,7,6
composition,11,8
compound,8,7
comprehend,10,9
comprehension,13,10
comprehensive,13,11
compress,8,7
comprise,8,8
compromise,10,8
compulsion,10,9
compulsive,10,10
compute,7,7
computer,8,8
comrade,7,7
con,3,3
conceal,7,6
concealment,11,8
concede,7,5
conceited,9,7
conceivable,11,9
conceive,8,6
concentrate,11,7
concentration,13,8
concept,7,6
concern,7,5
concerned,9,6
concerning,10,7
concert,7,6
conciliate,10,8
concise,7,6
conclude,8,7
conclusion,10,7
conclusive,10,9
concord,7,5
concourse,9,7
concrete,8,6
concur,6,5
concurrence,11,6
concussion,10,6
condemn,7,6
condensed,9,6
condiment,9,8
condition,9,6
conditioner,11,8
conditions,10,7
condo,5,4
condole,7,6
condolences,11,7
condom,6,5
conduct,7,6
conductive,10,9
conductor,9,7
cone,4,4
confectionery,13,9
confederate,11,9
confer,6,6
conference,10,6
confess,7,6
confession,10,7
confide,7,7
confidence,10,7
confident,9,8
confidential,12,10
confidentiality,15,11
confine,7,6
confirm,7,7
confirmation,12,9
confiscate,10,9
conflict,8,7
conform,7,6
conformity,10,9
confound,8,6
confront,8,6
confrontation,13,8
confuse,7,7
confused,8,8
confusion,9,7
congest,7,7
congestion,10,8
congratulate,12,10
congratulations,15,11
congress,8,7
congressional,13,10
congruous,9,7
conjecture,10,8
conjunction,11,7
conjure,7,7
connate,7,6
connect,7,5
connected,9,6
connecting,10,7
connection,10,6
connoisseur,11,8
connote,7,5
conquer,7,7
conscience,10,6
conscious,9,6
consciousness,13,7
consecution,11,8
consensus,9,6
consent,7,6
consequence,11,7
consequently,12,10
conservation,12,10
conservative,12,10
conserve,8,7
consession,10,6
consider,8,8
considerable,12,11
considerably,12,12
considerate,11,10
consideration,13,10
consignment,11,9
consist,7,6
consistency,11,8
consistent,10,7
consolation,11,8
console,7,6
consonant,9,6
conspicuous,11,7
conspiracy,10,9
constable,9,9
constant,8,6
constantly,10,8
constellation,13,9
consternation,13,9
constituent,11,8
constitute,10,8
constitution,12,7
constitutional,14,9
constrain,9,8
constrict,9,7
construct,9,7
construction,12,8
constructive,12,10
construe,8,8
consulate,9,9
consult,7,7
consultant,10,8
consultation,12,9
consulting,10,9
consume,7,7
consumer,8,8
consumption,11,9
contact,7,5
contagion,9,7
contagious,10,9
contain,7,6
container,9,8
contaminate,11,8
contemn,7,6
contemplate,11,9
contemporary,12,10
contempt,8,7
contend,7,6
content,7,5
contented,9,6
contentment,11,6
contest,7,6
context,7,6
continent,9,6
continental,11,8
contingent,10,7
continual,9,8
continue,8,7
continued,9,8
continuing,10,7
continuous,10,7
contraceptive,13,10
contract,8,6
contraction,11,7
contractor,10,6
contradict,10,8
contradiction,13,8
contrary,8,7
contrast,8,7
contribute,10,9
contribution,12,8
contrivance,11,9
control,7,6
controversial,13,11
controversy,11,9
convene,7,5
convenience,11,6
convenient,10,7
conveniently,12,9
convent,7,6
convention,10,7
conventional,12,9
conversation,12,10
convert,7,7
convertible,11,10
convey,6,6
convict,7,6
convicted,9,8
conviction,10,6
convince,8,6
convincing,10,6
cook,4,3
cooked,6,5
cookery,7,6
cookie,6,5
cooking,7,6
cool,4,3
cooler,6,5
coolest,7,6
cooper,6,5
cooperate,9,7
cooperation,11,9
cooperative,11,9
coordinate,10,9
cop,3,3
cope,4,4
copied,6,6
copier,6,6
copper,6,5
copy,4,4
coral,5,5
cord,4,4
cordial,7,7
core,4,4
cork,4,4
corky,5,5
corn,4,4
corner,6,5
cornered,8,6
cornflower,10,8
corny,5,5
coronation,10,7
corporal,8,6
corporate,9,7
corporation,11,8
corpse,6,6
corpulent,9,9
correct,7,5
correction,10,7
correctly,9,7
correlation,11,9
correspond,10,8
correspondence,14,8
correspondent,13,9
corridor,8,5
corrupt,7,6
corruption,10,8
cosign,6,6
cosmetics,9,7
cosmic,6,5
cosmopolitan,12,10
cost,4,4
costs,5,4
costume,7,7
cosy,4,4
cottage,7,6
cotton,6,4
couch,5,4
cough,5,5
could,5,5
council,7,6
counsel,7,7
counselling,11,9
counsellor,10,8
counselor,9,8
count,5,5
countdown,9,7
countenance,11,7
counter,7,7
counterfeit,11,9
countess,8,7
counting,8,7
countless,9,8
country,7,7
countryside,11,11
county,6,6
coup,4,4
couple,6,6
coupon,6,5
courage,7,7
courageous,10,8
courier,7,6
course,6,6
court,5,5
courtesy,8,8
courthouse,10,8
courtroom,9,6
cousin,6,6
cove,4,4
cover,5,5
coverage,8,7
covered,7,6
covering,8,8
covert,6,6
covetous,8,7
cow,3,3
coward,6,6
cowboy,6,5
cower,5,5
coy,3,3
cozy,4,4
crab,4,4
crack,5,4
cracker,7,5
cracking,8,7
cradle,6,6
craft,5,5
crag,4,4
cram,4,4
cramp,5,5
cranberry,9,7
crane,5,5
cranky,6,6
crap,4,4
crappy,6,5
crash,5,5
crate,5,5
crater,6,5
crave,5,5
craving,7,7
crawl,5,5
crawling,8,8
crayfish,8,8
crayon,6,6
craziness,9,8
crazy,5,5
cream,5,5
crease,6,5
create,6,5
creation,8,8
creative,8,7
creature,8,6
creche,6,4
credential,10,9
credibility,11,9
credit,6,6
credulity,9,9
credulous,9,8
creed,5,4
creek,5,4
creep,5,4
creeping,8,7
creepy,6,5
cremate,7,6
crescent,8,6
crest,5,5
crevice,7,5
crew,4,4
crib,4,4
cricket,7,6
crime,5,5
criminal,8,7
crimpy,6,6
crimson,7,7
cripple,7,6
crippled,8,7
crisis,6,4
crisp,5,5
criteria,8,6
critic,6,4
critical,8,6
criticism,9,6
criticize,9,6
croak,5,5
crochet,7,6
crock,5,4
crockery,8,6
crocodile,9,7
crook,5,4
crooked,7,6
crop,4,4
cross,5,4
crossing,8,7
crossroad,9,6
crow,4,4
crowd,5,5
crown,5,5
crucial,7,6
crude,5,5
cruel,5,5
cruelty,7,7
cruise,6,6
crumb,5,5
crummy,6,5
crumple,7,7
crunch,6,5
crusade,7,7
crush,5,5
crushed,7,7
crushing,8,8
crust,5,5
crutch,6,5
cry,3,3
crying,6,6
cryptic,7,6
crystal,7,7
cub,3,3
cube,4,4
cubicle,7,6
cuckoo,6,4
cucumber,8,6
cuddle,6,5
cudgel,6,6
cue,3,3
cuff,4,3
cuisine,7,6
culinary,8,8
culprit,7,7
cult,4,4
cultural,8,6
culture,7,6
cumbersome,10,8
cunning,7,5
cup,3,3
cupboard,8,8
cupcake,7,6
cupid,5,5
curb,4,4
cure,4,4
curiosity,9,8
curious,7,6
curl,4,4
curly,5,5
currant,7,6
currency,8,6
current,7,6
currently,9,8
curriculum,10,6
curry,5,4
curse,5,5
cursed,6,6
curtain,7,7
curve,5,5
cushion,7,7
custody,7,7
custom,6,6
customer,8,8
customs,7,6
cut,3,3
cute,4,4
cuter,5,5
cutlery,7,7
cutlet,6,5
cutter,6,5
cyber,5,5
cycle,5,4
cylinder,8,8
cynical,7,6
cypress,7,6
dad,3,2
daffodil,8,6
daft,4,4
dagger,6,5
daily,5,5
dainty,6,6
dairy,5,5
daisy,5,5
dale,4,4
dam,3,3
damage,6,5
damaged,7,5
damaging,8,6
dame,4,4
damn,4,4
damp,4,4
dance,5,5
dancer,6,6
dandelion,9,7
dandy,5,4
danger,6,6
dangerous,9,9
dangerously,11,11
dangle,6,6
dare,4,4
daring,6,6
dark,4,4
darkness,8,7
darling,7,7
darn,4,4
dart,4,4
dash,4,4
dashboard,9,7
dashing,7,7
data,4,3
database,8,6
date,4,4
dated,5,4
daub,4,4
daughter,8,8
daunt,5,5
dauntless,9,8
dawn,4,4
day,3,3
daydream,8,6
daylight,8,8
daytime,7,7
daze,4,4
dazzle,6,5
deacon,6,6
dead,4,3
deadline,8,6
deadly,6,5
deaf,4,4
deal,4,4
dealer,6,5
dealing,7,7
dealt,5,5
dean,4,4
dear,4,4
dearest,7,6
dearly,6,6
death,5,5
debark,6,6
debatable,9,6
debate,6,5
debauch,7,7
debit,5,5
debris,6,6
debt,4,4
debut,5,5
decade,6,4
decadence,9,5
decay,5,5
deceased,8,5
deceit,6,5
deceive,7,5
deceiving,9,7
decency,7,5
decent,6,5
deception,9,8
decide,6,4
decimal,7,7
decision,8,7
decisive,8,6
deck,4,4
declaration,11,10
declare,7,6
decline,7,6
decoction,9,7
decompose,9,7
decorate,8,7
decorated,9,7
decoration,10,9
decoy,5,5
decrease,8,6
decree,6,4
dedicate,8,6
dedicated,9,6
dedication,10,8
deduce,6,4
deduct,6,5
deed,4,2
deem,4,3
deep,4,3
deeply,6,5
deer,4,3
deface,6,5
default,7,7
defeat,6,5
defeated,8,5
defective,9,7
defence,7,5
defenceless,11,7
defend,6,4
defendant,9,6
defender,8,5
defense,7,5
defensive,9,7
defer,5,4
deference,9,6
defiance,8,7
deficiency,10,7
deficit,7,6
define,6,5
definite,8,6
definitely,10,8
definition,10,7
deform,6,6
defrost,7,7
defy,4,4
degenerate,10,7
degradation,11,9
degree,6,4
dehydrated,10,7
deity,5,5
dejection,9,8
delay,5,5
delayed,7,5
delegate,8,6
deliberate,10,8
deliberately,12,9
delicacy,8,7
delicate,8,7
delicatessen,12,9
delicious,9,8
delight,7,7
delighted,9,7
delightful,10,9
delinquent,10,8
deliquency,10,9
delirious,9,8
deliver,7,6
delivering,10,8
delivery,8,7
delude,6,4
deluge,6,5
delusion,8,8
delusional,10,9
demand,6,5
demeanour,9,8
demented,8,5
demise,6,5
democracy,9,8
democrat,8,8
democratic,10,9
demolish,8,8
demolition,10,8
demon,5,5
demonic,7,7
demonstrate,11,9
demonstration,13,10
demote,6,5
demure,6,5
den,3,3
denial,6,6
denote,6,5
denounce,8,6
dense,5,4
density,7,7
dent,4,4
dental,6,6
dentist,7,6
denunciation,12,9
deny,4,4
denying,7,6
depart,6,6
department,10,8
departure,9,7
depend,6,4
dependable,10,7
dependent,9,5
depending,9,6
depict,6,6
deplete,7,5
deplorable,10,8
deport,6,6
deposit,7,7
deposition,10,8
depot,5,5
deprave,7,6
depreciate,10,8
depressed,9,5
depressing,10,8
depression,10,8
deprivation,11,10
deprive,7,6
depth,5,5
deputy,6,6
derange,7,6
derelict,8,7
deride,6,4
derivative,10,7
derive,6,5
descend,7,5
descendent,10,6
describe,8,7
description,11,10
descriptive,11,9
desert,6,5
deserted,8,5
deserve,7,5
design,6,6
designate,9,8
designer,8,7
designing,9,6
desirable,9,8
desire,6,5
desist,6,5
desk,4,4
desolate,8,7
despair,7,7
desperate,9,7
desperately,11,9
desperation,11,10
despicable,10,9
despise,7,5
despite,7,6
despot,6,6
dessert,7,5
destination,11,8
destined,8,6
destiny,7,7
destitute,9,6
destroy,7,7
destruct,8,7
destruction,11,10
destructive,11,9
detached,8,6
detail,6,6
detailed,8,6
detain,6,6
detect,6,4
detective,9,6
detector,8,6
detention,9,6
deter,5,4
detergent,9,6
deteriorate,11,7
determination,13,9
determine,9,7
determined,10,7
deterrent,9,5
detest,6,4
detestable,10,7
detour,6,6
detriment,9,7
devaluation,11,10
devastated,10,6
devastating,11,9
develop,7,6
developed,9,6
developing,10,9
development,11,9
deviate,7,6
device,6,5
devil,5,5
devious,7,7
devise,6,5
devoid,6,5
devolution,10,9
devote,6,5
devoted,7,5
devotion,8,7
devour,6,6
devout,6,6
dew,3,3
dexterity,9,7
diabete,7,6
diagnose,8,8
diagnosis,9,7
diagram,7,6
dial,4,4
dialect,7,7
dialogue,8,8
diameter,8,7
diamond,7,6
diaper,6,6
diarrhoea,9,7
diary,5,5
dice,4,4
dictate,7,6
dictation,9,7
dictator,8,7
dictionary,10,9
die,3,3
diet,4,4
dietary,7,7
differ,6,5
difference,10,7
different,9,7
differently,11,9
difficult,9,7
difficulty,10,8
diffident,9,6
diffuse,7,6
dig,3,3
digest,6,6
digestion,9,8
digestive,9,7
digging,7,4
digital,7,6
dignify,7,6
dignity,7,6
digress,7,6
dike,4,4
dilapidation,12,8
dilate,6,6
dilemma,7,6
diligence,9,7
dill,4,3
dilute,6,6
dilution,8,7
dim,3,3
dimension,9,7
diminish,8,6
diminution,10,7
dimness,7,6
dimple,6,6
din,3,3
dine,4,4
diner,5,5
ding,4,4
dingy,5,5
dining,6,4
dinner,6,5
dinosaur,8,8
dip,3,3
diploma,7,7
diplomatic,10,9
dipping,7,5
dire,4,4
direct,6,6
directed,8,6
direction,9,8
directly,8,8
directness,10,8
director,8,7
dirt,4,4
dirtiness,9,7
dirty,5,5
disability,10,8
disable,7,7
disadvantage,12,9
disagree,8,7
disagreement,12,10
disappear,9,7
disappearance,13,9
disappoint,10,8
disappointed,12,9
disappointment,14,10
disapproval,11,9
disarm,6,6
disarray,8,6
disaster,8,7
disastrous,10,8
disavow,7,7
disbelief,9,7
disc,4,4
discard,7,6
discern,7,7
discernible,11,9
discharge,9,9
discharged,10,9
disciple,8,7
disciplinary,12,10
discipline,10,8
disclose,8,7
disco,5,5
discomfort,10,9
disconnect,10,8
discontent,10,8
discord,7,6
discount,8,8
discourage,10,10
discourse,9,8
discourteous,12,9
discover,8,8
discovering,11,10
discovery,9,9
discredit,9,7
discreet,8,7
discrepancy,11,10
discretion,10,9
discrimination,14,10
discuss,7,5
discussion,10,7
disdain,7,5
disease,7,5
disembark,9,9
disembody,9,8
disembroil,10,9
disfigure,9,8
disgrace,8,8
disgraceful,11,11
disguise,8,6
disgust,7,6
disgusted,9,7
disgusting,10,7
dish,4,4
dishearten,10,9
dishonest,9,8
dishonour,9,8
dishwasher,10,8
disillusion,11,7
disingenuous,12,8
disinherit,10,8
disintegrate,12,9
disinterested,13,7
disk,4,4
dislike,7,6
disloyal,8,7
dismal,6,6
dismantle,9,9
dismay,6,6
dismiss,7,4
dismount,8,8
disobedience,12,8
disobey,7,7
disorder,8,6
disorganized,12,10
disoriented,11,8
disparage,9,8
disparity,9,8
dispatch,8,8
dispel,6,6
dispense,8,6
disperse,8,6
displace,8,8
display,7,7
displease,9,7
disposable,10,9
disposal,8,7
dispose,7,6
disprove,8,8
dispute,7,7
disqualify,10,9
disquiet,8,7
disregard,9,7
disreputable,12,11
disrespect,10,8
disrupt,7,7
dissatisfaction,15,9
dissemble,9,7
dissimilar,10,7
dissipate,9,7
dissolve,8,7
distance,8,8
distant,7,6
distasteful,11,9
distil,6,5
distinct,8,6
distinction,11,7
distinguish,11,8
distinguished,13,9
distort,7,6
distract,8,7
distracted,10,8
distracting,11,9
distraction,11,9
distraught,10,9
distress,8,6
distribute,10,8
distribution,12,9
district,8,6
distrust,8,6
distrustul,10,7
disturb,7,7
disturbance,11,11
disturbing,10,9
ditch,5,5
ditto,5,4
dive,4,4
diver,5,5
diverge,7,6
diverse,7,6
diversion,9,8
diversity,9,8
divert,6,6
divide,6,4
divided,7,4
divine,6,5
diving,6,5
divinity,8,6
division,8,6
divorce,7,7
divorced,8,7
dizzy,5,4
do,2,2
doable,6,6
dock,4,4
doctor,6,5
doctrine,8,8
document,8,8
documentary,11,11
dodge,5,4
dodgy,5,4
doer,4,4
does,4,4
dog,3,3
doggie,6,5
doggy,5,4
dole,4,4
doleful,7,6
doll,4,3
dollar,6,5
dolly,5,4
dolphin,7,7
domain,6,6
dome,4,4
domestic,8,8
domicile,8,7
dominant,8,7
dominate,8,8
donate,6,6
donation,8,6
donkey,6,6
donor,5,4
donut,5,5
doodle,6,4
doom,4,3
doomed,6,4
door,4,3
doorbell,8,6
doorman,7,6
doormant,8,7
doorstep,8,7
doorway,7,6
dope,4,4
dormitory,9,7
dosage,6,6
dose,4,4
dot,3,3
double,6,6
doubly,6,6
doubt,5,5
doubtful,8,7
dough,5,5
doughnut,8,7
dove,4,4
down,4,4
download,8,6
downright,9,9
downstairs,10,9
downtown,8,5
downward,8,6
dowry,5,5
doze,4,4
dozen,5,5
draft,5,5
drag,4,4
dragon,6,6
drain,5,5
drake,5,5
drama,5,4
dramatic,8,7
dramatically,12,9
drank,5,5
drape,5,5
drastic,7,7
draught,7,7
draw,4,4
drawback,8,7
drawer,6,5
drawing,7,7
drawn,5,5
dread,5,4
dreadful,8,7
dream,5,5
dreamt,6,6
drench,6,6
dress,5,4
dressed,7,4
dresser,7,4
dressing,8,7
dried,5,4
drift,5,5
drill,5,4
drink,5,5
drip,4,4
dripping,8,6
drive,5,5
driven,6,6
driver,6,5
driveway,8,8
driving,7,6
drizzle,7,6
drone,5,5
droop,5,4
drop,4,4
dropper,7,5
drops,5,5
drought,7,7
drove,5,5
drown,5,5
drowsy,6,6
drudgery,8,6
drug,4,4
drugged,7,5
drum,4,4
drummer,7,5
drunk,5,5
drunkard,8,6
drunken,7,6
dry,3,3
dryer,5,4
dual,4,4
dub,3,3
dubious,7,6
duchess,7,6
duck,4,4
duct,4,4
due,3,3
dug,3,3
duke,4,4
dull,4,3
duly,4,4
dumb,4,4
dumbest,7,7
dummy,5,4
dump,4,4
dumpling,8,8
dune,4,4
dung,4,4
dungeon,7,6
dunk,4,4
duplicate,9,9
durable,7,7
during,6,6
dusk,4,4
dust,4,4
dusty,5,5
duty,4,4
dwarf,5,5
dwell,5,4
dwelling,8,7
dye,3,3
dying,5,5
dynamic,7,7
dynamite,8,8
dynasty,7,6
dysentery,9,7
dysfunctional,13,12
each,4,4
eager,5,4
eagle,5,4
ear,3,3
earl,4,4
earlap,6,5
earlobe,7,6
early,5,5
earn,4,4
earnest,7,6
earnings,8,7
earphones,9,8
earring,7,6
earth,5,5
earthquake,10,8
earthy,6,6
ease,4,3
easel,5,4
easier,6,5
easiest,7,5
easily,6,6
east,4,4
eastern,7,6
easy,4,4
easygoing,9,8
eat,3,3
eatable,7,5
eaten,5,4
eater,5,4
eavesdrop,9,8
eavesdropping,13,11
ebony,5,5
eccentric,9,6
echo,4,4
eclipse,7,6
ecology,7,6
economic,8,6
economical,10,8
economics,9,7
economist,9,8
economy,7,6
ecstasy,7,6
ecstatic,8,6
edacious,8,8
edacity,7,7
edge,4,3
edgy,4,4
edible,6,5
edifice,7,5
edit,4,4
edition,7,6
editor,6,6
editorial,9,8
educate,7,6
educated,8,6
education,9,9
educational,11,10
educator,8,8
eel,3,2
efface,6,4
effect,6,4
effective,9,6
effectively,11,8
effeminate,10,7
efficacious,11,8
efficiency,10,6
efficient,9,6
efforless,9,6
effort,6,5
egg,3,2
ego,3,3
egoism,6,6
egotistical,11,9
eight,5,5
eighteen,8,6
eighth,6,5
eighty,6,6
either,6,5
eject,5,4
ejection,8,7
elaborate,9,7
elapse,6,5
elastic,7,7
elated,6,5
elbow,5,5
elder,5,4
elderly,7,5
elect,5,4
election,8,7
electric,8,6
electrical,10,7
electricity,11,7
electronic,10,8
electronics,11,9
elegance,8,6
elegant,7,6
element,7,5
elemental,9,6
elementary,10,8
elephant,8,7
elevate,7,5
elevator,8,7
eleven,6,4
elf,3,3
eligible,8,5
eliminate,9,7
eliminated,10,8
elite,5,4
elitist,7,5
elk,3,3
eloquent,8,7
else,4,3
elsewhere,9,6
elusive,7,6
email,5,5
emasculate,10,8
embankment,10,7
embargo,7,7
embark,6,6
embarrass,9,6
embarrassment,13,8
embassy,7,6
embezzlement,12,7
embitter,8,6
emblem,6,4
embodiment,10,8
embody,6,6
embrace,7,6
embroider,9,7
embryo,6,6
emerald,7,6
emerge,6,4
emergency,9,7
emigrant,8,8
eminence,8,5
eminent,7,5
emission,8,6
emit,4,4
emotion,7,6
emotional,9,8
emotionally,11,9
emperor,7,5
emphasis,8,7
emphasize,9,8
empire,6,5
employ,6,6
employed,8,7
employee,8,6
employer,8,7
employment,10,8
empower,7,6
emptiness,9,7
empty,5,5
emulate,7,6
enable,6,5
enact,5,5
enamel,6,5
encase,6,5
enchant,7,6
enchantment,11,7
encircle,8,6
enclose,7,6
encode,6,5
encounter,9,7
encourage,9,8
encouragement,13,10
encouraging,11,9
encroach,8,7
encumber,8,7
encumbrance,11,8
encyclopaedia,13,10
end,3,3
endangered,10,6
endeavour,9,8
ending,6,5
endless,7,5
endorse,7,6
endorsement,11,8
endurance,9,7
endure,6,5
enemy,5,4
energetic,9,7
energy,6,5
enfold,6,6
enforce,7,6
enforcement,11,8
engage,6,4
engagement,10,6
engine,6,4
engineer,8,5
engineering,11,5
engrave,7,6
enhance,7,5
enigma,6,6
enjoy,5,5
enjoyable,9,8
enjoying,8,7
enjoyment,9,7
enlarge,7,6
enlargement,11,8
enlighten,9,7
enlist,6,6
enliven,7,5
enmity,6,6
enormous,8,7
enough,6,6
enquiry,7,7
enrage,6,5
enrapture,9,7
enrich,6,6
ensign,6,5
ensue,5,4
ensure,6,5
entail,6,6
entangle,8,6
enter,5,4
entering,8,6
enterprise,10,7
entertain,9,6
entertaining,12,7
entertainment,13,7
enthrone,8,6
enthusiasm,10,9
enthusiastic,12,9
entice,6,5
entire,6,5
entirely,8,7
entitled,8,6
entrails,8,8
entrance,8,6
entreat,7,5
entrepreneur,12,6
entrust,7,6
entry,5,5
enumerate,9,7
envelope,8,6
enviable,8,7
envious,7,7
environment,11,8
environmental,13,10
envisage,8,7
envoy,5,5
envy,4,4
epic,4,4
epidemic,8,6
episode,7,6
epoch,5,5
equability,10,9
equal,5,5
equality,8,8
equally,7,6
equanimity,10,9
equation,8,8
equator,7,7
equilibrium,11,8
equipment,9,8
equipped,8,6
equity,6,6
equivalent,10,9
era,3,3
eradicate,9,7
erase,5,4
eraser,6,4
erect,5,4
erosion,7,6
erotic,6,6
err,3,2
errand,6,5
erratic,7,6
error,5,3
erupt,5,5
eruption,8,8
escalator,9,8
escape,6,5
escort,6,6
especially,10,8
espionage,9,8
essay,5,4
essence,7,4
essential,9,7
essentially,11,8
establish,9,8
establishment,13,10
estate,6,4
esteem,6,4
estimate,8,6
estrange,8,7
etc,3,3
eternal,7,6
eternity,8,6
ethic,5,5
ethical,7,7
ethics,6,6
ethnic,6,6
etiquette,9,5
evacuate,8,6
evade,5,4
evaluate,8,6
evaluation,10,9
evaporate,9,7
evasion,7,7
eve,3,2
even,4,3
evening,7,5
event,5,4
eventful,8,7
eventually,10,8
ever,4,3
evergreen,9,5
every,5,4
everybody,9,7
everyday,8,6
everyone,8,6
everything,10,9
everywhere,10,6
evict,5,5
evidence,8,6
evidently,9,8
evil,4,4
evoke,5,4
evolution,9,8
evolve,6,4
ewe,3,2
exact,5,5
exactly,7,7
exaggerate,10,6
exalt,5,5
exaltation,10,8
exam,4,4
examination,11,8
examine,7,6
examiner,8,7
example,7,6
exasperate,10,7
excavate,8,6
exceed,6,4
excel,5,4
excellent,9,6
except,6,5
exception,9,8
exceptional,11,10
excess,6,4
excessive,9,6
exchange,8,7
excite,6,5
excited,7,6
excitement,10,7
exciting,8,7
exclaim,7,7
exclude,7,6
exclusion,9,9
exclusive,9,8
excrete,7,5
excruciation,12,10
excursion,9,9
excuse,6,5
execute,7,5
executed,8,6
execution,9,8
executive,9,7
exemplar,8,7
exemplify,9,8
exempt,6,5
exercise,8,6
exhale,6,5
exhaust,7,7
exhausting,10,10
exhibit,7,6
exhibition,10,8
exile,5,4
exist,5,5
existence,9,7
existing,8,7
exit,4,4
exotic,6,6
expand,6,6
expanding,9,8
expansion,9,8
expect,6,5
expectation,11,9
expedient,9,7
expedition,10,8
expel,5,4
expelled,8,5
expend,6,5
expenditure,11,9
expense,7,5
expensive,9,7
experience,10,7
experiment,10,8
experimental,12,10
expert,6,5
expertise,9,7
expire,6,5
explain,7,7
explanation,11,9
explicit,8,7
explode,7,6
exploded,8,6
exploit,7,7
exploration,11,10
explore,7,6
explorer,8,6
explosion,9,8
explosive,9,8
export,6,6
expose,6,5
exposure,8,7
express,7,5
expression,10,8
expulsion,9,9
exquisite,9,7
extend,6,5
extension,9,7
extensive,9,7
extent,6,4
exterior,8,6
exterminate,11,8
exterminator,12,9
external,8,7
extinct,7,6
extinguish,10,9
extortion,9,7
extra,5,5
extract,7,6
extraction,10,9
extraordinary,13,10
extreme,7,5
extremely,9,7
eye,3,2
eyeball,7,5
eyebrow,7,6
eyelash,7,6
eyelid,6,5
eyeshadow,9,8
eyesight,8,7
eyewitness,10,7
fable,5,5
fabric,6,6
fabulous,8,7
face,4,4
facet,5,5
facial,6,5
facile,6,6
faciliate,9,7
facility,8,7
facing,6,6
fact,4,4
factor,6,6
factory,7,7
facultative,11,9
faculty,7,7
fad,3,3
fade,4,4
fading,6,6
fail,4,4
failing,7,6
failure,7,7
faint,5,5
fainted,7,7
fair,4,4
fairly,6,6
fairness,8,7
fairy,5,5
fairytale,9,8
faith,5,5
faithful,8,7
faithless,9,8
fake,4,4
falcon,6,6
fall,4,3
fallout,7,6
false,5,5
falsify,7,6
falter,6,6
fame,4,4
familiar,8,6
family,6,6
famine,6,6
famous,6,6
fan,3,3
fancy,5,5
fang,4,4
fantastic,9,7
fantasy,7,6
far,3,3
faraway,7,5
fare,4,4
farewell,8,6
farm,4,4
farmer,6,5
farsighted,10,10
fart,4,4
farther,7,6
fascinating,11,8
fashion,7,7
fast,4,4
fasten,6,6
faster,6,6
fastest,7,5
fastidious,10,8
fat,3,3
fatal,5,4
fatality,8,6
fate,4,4
father,6,6
fathom,6,6
